 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/28/2018


"Rank","Name","G","W-L","AB","H","BA"
"1","Tennessee Tech","65","53-12","2370","788","0.332"
"2","UNC Greensboro","54","39-15","1917","624","0.326"
"3","Oregon St.","68","55-12-1","2345","753","0.321"
"4","Morehead St.","63","37-26","2325","734","0.316"
"5","New Mexico St.","62","40-22","2113","656","0.310"
"6","UNLV","59","35-24","2134","662","0.310"
"7","Air Force","54","24-30","1953","605","0.310"
"8","Texas Tech","65","45-20","2249","695","0.309"
"9","Jackson St.","52","34-18","1753","532","0.303"
"10","Bryant","56","32-23-1","1932","585","0.303"
"11","Mercer","60","38-22","2101","635","0.302"
"12","Texas Southern","55","27-28","1859","561","0.302"
"13","Southern Miss.","62","44-18","2166","651","0.301"
"14","San Diego St.","60","39-21","2103","632","0.301"
"15","Alabama St.","52","30-22","1821","547","0.300"
"16","Ole Miss","65","48-17","2200","660","0.300"
"17","Minnesota","59","44-15","2019","605","0.300"
"18","Fresno St.","54","30-24","1872","559","0.299"
"19","Nevada","53","29-24","1846","549","0.297"
"20","St. John's (NY)","57","40-17","1958","582","0.297"
"21","DBU","63","42-21","2184","648","0.297"
"22","Eastern Ky.","61","30-31","2169","643","0.296"
"23","Arkansas","69","48-21","2347","695","0.296"
"24","Troy","63","42-21","2158","638","0.296"
"25","South Fla.","59","36-22-1","2050","606","0.296"
"26","Grand Canyon","57","33-24","1968","581","0.295"
"27","Northern Colo.","53","29-24","1836","541","0.295"
"28","Bradley","51","32-19","1729","509","0.294"
"29","Kentucky","56","34-22","1880","553","0.294"
"30","Wright St.","56","39-17","1954","574","0.294"
"31","Louisville","64","45-19","2139","625","0.292"
"32","UIW","55","29-26","1907","557","0.292"
"33","Georgia Tech","58","31-27","2040","593","0.291"
"34","Arizona St.","55","23-32","1890","549","0.290"
"35","Grambling","52","26-26","1715","498","0.290"
"36","Coastal Carolina","62","43-19","2116","614","0.290"
"37","Cal Poly","57","30-27","1989","577","0.290"
"38","A&M-Corpus Christi","56","30-26","1958","568","0.290"
"39","Jacksonville","61","40-21","2062","598","0.290"
"40","San Jose St.","57","27-30","1964","567","0.289"
"41","Wichita St.","57","35-21-1","1937","559","0.289"
"42","East Carolina","62","44-18","2063","595","0.288"
"43","FIU","54","26-28","1829","527","0.288"
"44","San Diego","55","23-32","1913","551","0.288"
"45","NC State","60","42-18","2040","587","0.288"
"46","Wofford","59","36-23","2004","576","0.287"
"","Texas A&M","62","40-22","2171","624","0.287"
"48","California","54","32-22","1880","540","0.287"
"49","Kent St.","58","40-18","1984","569","0.287"
"50","ETSU","53","28-25","1839","527","0.287"
"51","Navy","54","38-16","1837","526","0.286"
"52","Murray St.","56","27-29","1900","544","0.286"
"53","Central Ark.","57","32-25","1949","558","0.286"
"54","UCLA","59","38-21","2005","574","0.286"
"55","Baylor","58","37-21","1993","570","0.286"
"56","Niagara","51","24-27","1742","498","0.286"
"57","North Carolina","64","44-20","2207","629","0.285"
"58","George Washington","58","32-26","2008","572","0.285"
"59","Arizona","56","34-22","1865","531","0.285"
"60","UTSA","56","32-24","1904","541","0.284"
"61","Oral Roberts","58","38-20","1961","557","0.284"
"62","VMI","53","26-27","1794","509","0.284"
"63","Indiana","59","40-19","2021","573","0.284"
"64","LSU","66","39-27","2196","622","0.283"
"65","Florida A&M","55","25-30","1816","514","0.283"
"66","High Point","56","34-22","1961","555","0.283"
"67","Ohio St.","60","36-24","2071","586","0.283"
"68","Georgia","60","39-21","2065","584","0.283"
"69","UConn","60","37-22-1","2077","587","0.283"
"70","Auburn","66","43-23","2223","626","0.282"
"71","Louisiana Tech","59","39-20","2020","568","0.281"
"72","Saint Louis","58","38-20","1981","557","0.281"
"73","Seattle U","57","34-23","1860","522","0.281"
"74","Coppin St.","45","21-24","1451","407","0.280"
"75","Stanford","58","46-12","1908","535","0.280"
"76","UC Irvine","56","32-24","1901","533","0.280"
"77","West Virginia","56","29-27","1926","540","0.280"
"78","Purdue","59","38-21","1919","538","0.280"
"79","Duke","63","45-18","2162","606","0.280"
"80","Canisius","57","35-22","1966","551","0.280"
"81","Quinnipiac","56","26-30","1907","534","0.280"
"82","Middle Tenn.","55","27-27-1","1926","539","0.280"
"83","Southeast Mo. St.","57","27-30","1955","547","0.280"
"84","FGCU","53","32-21","1823","510","0.280"
"85","Sam Houston","59","39-20","1998","558","0.279"
"86","Nicholls","60","28-32","2009","561","0.279"
"87","Old Dominion","52","15-37","1778","496","0.279"
"88","New Mexico","54","20-33-1","1854","517","0.279"
"89","Milwaukee","54","26-28","1844","514","0.279"
"90","Col. of Charleston","55","36-19","1835","511","0.278"
"91","Charlotte","58","34-24","2013","560","0.278"
"92","UC Davis","53","18-35","1841","512","0.278"
"93","Bethune-Cookman","58","24-34","1944","539","0.277"
"94","Mississippi St.","68","39-29","2417","670","0.277"
"95","Marist","50","27-23","1632","452","0.277"
"96","Jacksonville St.","57","32-25","2063","571","0.277"
"97","Indiana St.","55","31-24","1915","530","0.277"
"98","Marshall","50","19-31","1760","487","0.277"
"99","Rice","59","26-31-2","2000","553","0.277"
"100","Michigan","54","33-21","1791","495","0.276"
"101","Austin Peay","57","30-27","1958","541","0.276"
"102","Gardner-Webb","58","31-27","1945","537","0.276"
"103","Siena","56","21-35","1820","502","0.276"
"104","Oklahoma","63","38-25","2150","593","0.276"
"105","Xavier","55","20-35","1918","529","0.276"
"106","South Carolina","63","37-26","2170","597","0.275"
"107","Seton Hall","51","30-20-1","1722","473","0.275"
"108","Abilene Christian","54","21-33","1863","511","0.274"
"109","Florida","70","49-21","2342","642","0.274"
"110","Nebraska","52","24-28","1781","488","0.274"
"111","N.C. A&T","57","32-25","1935","530","0.274"
"112","Furman","52","24-28","1771","485","0.274"
"113","BYU","50","22-28","1761","482","0.274"
"114","Valparaiso","53","19-34","1871","512","0.274"
"115","Kennesaw St.","55","25-30","1897","519","0.274"
"116","Notre Dame","54","24-30","1837","502","0.273"
"117","Saint Mary's (CA)","54","31-23","1761","481","0.273"
"118","Fla. Atlantic","63","43-19-1","2175","594","0.273"
"119","Northeastern","57","36-21","1992","544","0.273"
"120","Toledo","55","22-33","1820","497","0.273"
"121","Fairfield","51","22-29","1692","462","0.273"
"122","Davidson","54","33-21","1839","502","0.273"
"123","CSUN","58","28-30","2049","559","0.273"
"124","Washington","61","35-26","2082","568","0.273"
"125","Stony Brook","57","32-25","1844","503","0.273"
"126","Dartmouth","40","17-22-1","1413","385","0.272"
"127","Western Ky.","52","21-31","1770","482","0.272"
"128","Illinois St.","52","22-30","1862","507","0.272"
"129","Belmont","55","19-36","1935","526","0.272"
"130","Kansas","57","27-30","1939","527","0.272"
"131","SFA","53","17-36","1814","493","0.272"
"132","USC Upstate","52","23-28-1","1771","481","0.272"
"133","Butler","54","34-20","1871","508","0.272"
"134","Utah","55","16-39","1891","513","0.271"
"135","Maine","54","20-34","1803","489","0.271"
"136","Texas","65","42-23","2128","577","0.271"
"137","Central Conn. St.","46","18-28","1494","405","0.271"
"138","Central Mich.","60","29-30-1","1974","535","0.271"
"139","Eastern Ill.","54","23-31","1863","504","0.271"
"140","Virginia","54","29-25","1842","498","0.270"
"141","Gonzaga","57","33-24","1950","527","0.270"
"142","Northwestern St.","62","38-24","2148","580","0.270"
"143","Wagner","56","38-18","1871","505","0.270"
"144","Fordham","55","35-19-1","1843","497","0.270"
"145","Rutgers","50","25-25","1692","456","0.270"
"146","VCU","57","34-23","1874","505","0.269"
"147","Western Caro.","58","11-47","1982","534","0.269"
"148","Vanderbilt","62","35-27","2078","559","0.269"
"149","N.C. Central","52","28-24","1703","458","0.269"
"150","Hartford","57","26-31","1841","495","0.269"
"151","Georgetown","55","25-30","1812","487","0.269"
"152","Cal St. Fullerton","61","36-25","2082","559","0.268"
"153","New Orleans","61","29-32","2176","584","0.268"
"154","Southern Ill.","58","28-30","1949","523","0.268"
"155","Miami (OH)","55","35-20","1838","493","0.268"
"156","Illinois","53","33-20","1805","484","0.268"
"157","Harvard","42","22-20","1451","389","0.268"
"158","Hawaii","51","27-24","1661","445","0.268"
"159","Western Mich.","48","23-25","1613","432","0.268"
"160","UIC","48","30-18","1595","427","0.268"
"161","South Dakota St.","50","18-32","1715","459","0.268"
"162","Penn","42","16-25-1","1510","404","0.268"
"163","Richmond","56","32-24","1873","501","0.267"
"164","North Florida","56","28-28","1907","510","0.267"
"165","Monmouth","55","30-25","1836","491","0.267"
"166","Samford","63","37-26","2155","576","0.267"
"167","LIU","57","31-26","1883","503","0.267"
"168","Creighton","50","34-16","1709","456","0.267"
"169","McNeese","58","25-33","1912","510","0.267"
"170","The Citadel","53","19-34","1779","474","0.266"
"171","CSU Bakersfield","57","21-36","1904","507","0.266"
"172","Missouri","56","34-22","1909","508","0.266"
"173","Houston","63","38-25","2124","564","0.266"
"174","George Mason","56","29-27","1891","502","0.265"
"175","Florida St.","62","43-19","2053","545","0.265"
"176","Virginia Tech","54","21-33","1869","496","0.265"
"177","Iowa","53","33-20","1779","472","0.265"
"178","Alabama A&M","49","12-37","1659","440","0.265"
"179","Houston Christian","59","29-30","2003","531","0.265"
"180","UC Santa Barbara","56","27-27-2","1897","502","0.265"
"181","Elon","59","36-23","1984","525","0.265"
