,team,conference,avg_talent,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving
0,Georgia,SEC,99.11410455796148,2021,100.0,339.0,8.0,14.0,5.0,7.0,15.0,4.0,265.0,12.0,1.0,322.0,17.0,3778.0,407.0,264.0,16.0,39.0,77.0,648.0,27499.0,34.0,317.0,33.0,545.0,29.0,2864.0,49.0,99.0,77.0,172.0,6642.0,17.0,45.550000000000004,70.42053307008887,55.04892135213181,458.32,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.21933333333333335,58.751666666666665,30.024,1.0,1.0,3.0,93.674,88.364,57.774,15,14,1,9,8,1,83.58146758113733,96.6262737771739,44.197768524664895,63.30064082231178,70.38660613509506,65.87238845947806,32.08587570621468,66.71739783653848,32.84905629598214,100.0,90.4023968849149,100.0,86.82463675554284,53.95621301775148,7.717857142857156,69.2,74.5,10.000000000000002,55.45,84.58385940965707,70.42053307008887,52.61538461538459,8.0,90.4023968849149,83.58146758113733,44.197768524664895,991.9464050723769,100.0,67.42253521126761,70.38660613509506,100.0,96.6262737771739,63.300640822311756,238.48810800904346,76.34879280673049,28.7,1.0,241.80316559303483,1.0,0.9237206243610608,0.6532611002836579,3.0,33.84723707664884,36.0,1835.7384244101916,35.0,441.68,227.8,24.0,440.4827163092564,10,467.21122587486343,1,2.0,10.0,2.0,79.0,45.0,39.0,59.0,26.1,0.7721428571428571,8,7.98,4.99,2.21,1,4.5,1
1,Ohio State,Big Ten,98.43152290943894,2021,88.65458077047589,348.0,11.0,19.0,3.0,9.0,13.0,4.0,283.0,8.0,1.0,686.0,29.0,4952.0,494.0,349.0,12.0,46.0,85.0,770.0,22909.0,1.0,132.0,22.0,423.0,24.0,2344.0,36.0,83.0,81.0,155.0,7296.0,11.0,35.650000000000006,94.82033563672262,56.31017496178018,381.82,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.3506666666666667,100.48766666666667,23.978,3.0,8.0,27.0,59.592,93.185,56.744,13,11,2,9,8,1,98.72447785830889,54.883355753311264,67.48871286756312,54.90666559592967,96.40293953445035,58.42588754730582,31.220460358056258,38.23958333333334,39.371803992132925,64.82596514304122,97.36828921132161,44.33471933471934,78.80646945717702,43.64615384615385,3.5928571428571416,70.4,75.0,8.968598251861446,65.35,41.511004947961084,94.82033563672262,42.46153846153841,8.833333333333329,97.36828921132161,98.72447785830889,67.48871286756312,985.7411173585357,44.33471933471933,51.95774647887324,96.40293953445035,64.82596514304123,54.883355753311264,54.9066655959297,224.1444805101948,72.87201945876744,22.8,2.0,219.57361231238647,2.0,1.9143190580276954,0.7811381573118797,13.0,34.2551724137931,30.0,2103.777624833599,18.0,398.18,193.4,51.0,493.2769212231599,1,300.1549502953249,106,3.0,2.0,69.0,25.0,68.0,19.0,97.0,20.9,0.8273846153846154,34,5.35,2.5,0.2,8,1.922,9
2,Alabama,SEC,100.00000000000001,2021,100.0,367.0,9.0,17.0,6.0,6.0,15.0,2.0,189.0,7.0,67.0,480.0,20.0,5073.0,571.0,380.0,15.0,48.0,107.0,990.0,29142.0,67.0,260.0,33.0,548.0,21.0,2250.0,57.0,119.0,117.0,225.0,7323.0,13.0,40.60000000000001,93.97334649555778,47.9859011381009,485.7,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.19800000000000004,90.28566666666666,25.422,2.0,2.0,1.0,81.705,85.303,43.718,15,13,2,9,8,1,74.79019980463386,70.72990283407427,60.235329059685824,64.91137963313793,70.01480951575392,63.22067039106145,63.902225265320084,53.970096982758605,28.199108596511763,78.48684360341993,84.71999360305225,37.28378378378379,85.55816890820681,39.662721893491124,16.439285714285717,71.0,73.5,10.000000000000002,60.400000000000006,100.0,93.97334649555778,37.38461538461537,6.333333333333329,84.71999360305225,74.79019980463386,60.235329059685824,999.9999999999999,37.28378378378378,24.070422535211264,70.01480951575392,78.48684360341994,70.72990283407427,64.91137963313795,200.98502935861546,69.8614107417843,13.3,3.0,206.4603112748058,3.0,2.704284063777609,0.9900000000000001,38.0,34.378787878787875,29.0,1931.8314877175958,27.0,414.3,226.59999999999997,27.0,456.5459495329985,7,350.02040114797205,59,1.0,21.0,23.0,38.0,42.0,25.0,126.0,17.8,0.7195714285714285,1,7.44,4.68,1.94,2,4.022,2
3,Cincinnati,Big 12,53.76683813853333,2021,79.33210747814827,277.0,12.0,19.0,10.0,15.0,14.0,1.0,214.0,9.0,34.0,667.0,28.0,3377.0,400.0,257.0,19.0,33.0,101.0,754.0,22810.0,1.0,224.0,22.0,464.0,34.0,2406.0,39.0,102.0,62.0,158.0,5783.0,19.0,23.275000000000006,52.40572556762095,65.17258365890946,380.17,#E00122,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png']",0.333,135.917,15.282,10.0,6.0,54.0,76.52,71.231,72.048,14,13,1,9,9,0,78.71326036909664,73.5884749778144,45.47083650153266,73.4959751845874,70.78097492728064,90.22616969273741,40.98020097502736,40.80963908450704,42.98556304138596,80.98866369004028,85.6156759120556,68.7826417967263,87.62266536410571,80.55147928994083,17.5,66.1,73.6,8.121100679831663,77.725,40.58198259682649,52.40572556762095,78.8461538461539,6.499999999999986,85.6156759120556,78.71326036909664,45.47083650153266,579.698528532121,68.7826417967263,53.985915492957744,70.78097492728064,80.9886636900403,73.58847497781439,73.49597518458742,223.42604195110604,70.50636427505867,22.5,5.0,199.97641347814604,4.0,4.952992168333173,1.3006760633138659,73.0,41.503246753246756,6.0,1854.6639288543986,32.0,459.83,249.6,7.0,492.33859766767114,2,398.15095777506133,15,59.0,15.0,18.0,76.0,22.0,5.0,91.0,16.3,0.8615384615384615,54,5.23,2.74,0.87,6,2.281,6
4,Michigan,Big Ten,81.98955616700565,2021,88.65458077047589,305.0,14.0,27.0,5.0,9.0,14.0,1.0,101.0,9.0,34.0,570.0,27.0,3202.0,395.0,248.0,8.0,21.0,68.0,581.0,26344.0,1.0,364.0,36.0,575.0,39.0,3001.0,34.0,71.0,87.0,190.0,6203.0,14.0,52.97500000000001,73.74333662388945,46.15287922541191,439.07,#00274c,#ffcb05,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",0.33799999999999997,63.427,20.652,4.0,3.0,5.0,73.992,78.212,73.472,14,12,2,10,9,1,70.07407580572877,74.11335637019232,40.405476308885824,65.36800608773962,64.18435573192556,78.43016759776538,18.041481248525827,62.510959201388886,54.687739148806315,70.39896098652912,70.79048612189655,63.81756756756758,56.31145074472228,56.885207100591714,12.432142857142878,68.9,73.9,8.968598251861446,48.025000000000006,73.74526531308649,73.74333662388945,55.153846153846104,7.000000000000014,70.79048612189655,70.07407580572877,40.405476308885824,836.2686924273239,63.81756756756757,75.91549295774648,64.18435573192556,70.39896098652913,74.1133563701923,65.36800608773964,205.41670284426783,64.09070521516686,15.1,4.0,196.58380232767473,5.0,3.6948824974442434,0.6947527813263102,6.0,36.22222222222222,18.0,1691.8530936042755,49.0,400.93,187.0,57.0,398.8112499153196,38,403.3287322193667,12,15.0,29.0,16.0,85.0,40.0,55.0,34.0,15.5,0.7964285714285715,17,6.01,3.15,0.85,3,2.612,3
5,Texas A&M,SEC,85.688288072736,2021,100.0,251.0,6.0,10.0,3.0,5.0,12.0,1.0,115.0,13.0,34.0,336.0,13.0,2503.0,370.0,208.0,10.0,19.0,76.0,656.0,21740.0,34.0,320.0,30.0,418.0,17.0,2196.0,39.0,89.0,58.0,155.0,4699.0,16.0,62.87500000000001,46.47680157946694,59.85850178359095,362.33,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",0.23850000000000002,39.6175,12.486,14.0,29.0,52.0,79.59,47.581,66.367,12,8,4,8,4,4,63.64506825480319,78.88253729748811,34.67056740653112,75.18806468756253,47.977294843771375,68.15881883479648,76.86331315354983,68.27107558139534,29.134230362401027,88.12360984093503,60.773498702047874,89.55703160787907,79.27629807917636,32.98461538461541,20.446428571428555,72.0,72.8,10.000000000000002,38.125,30.537280327589144,46.47680157946694,28.923076923076906,5.166666666666657,60.773498702047874,63.64506825480319,34.67056740653112,869.8935279339635,89.55703160787907,66.40845070422534,47.977294843771375,88.12360984093503,78.88253729748811,75.18806468756253,193.51487555564506,64.7478570551819,10.2,6.0,195.8652221039752,6.0,6.077346220610956,0.7541152784042775,12.0,37.31282051282051,14.0,1692.1322181331552,48.0,357.67,197.8,45.0,385.0731765801153,49,449.6029779490897,2,9.0,45.0,8.0,99.0,16.0,78.0,60.0,15.3,0.7624166666666666,6,,,,123,,123
6,Pittsburgh,ACC,59.921916497188676,2021,70.3480738102946,362.0,17.0,25.0,7.0,10.0,14.0,4.0,265.0,8.0,34.0,445.0,19.0,4723.0,544.0,367.0,16.0,44.0,94.0,895.0,25980.0,1.0,278.0,30.0,525.0,26.0,2107.0,54.0,113.0,90.0,204.0,6830.0,15.0,33.175000000000004,68.30306021717671,73.31187361984033,433.0,#003263,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png']",0.20166666666666666,72.341,14.15,12.0,21.0,57.0,75.293,66.354,50.83,14,11,3,9,8,1,75.39998374397985,67.94827368951613,49.09627007317536,61.53176843576375,70.1913064035599,64.94902234636871,50.293501436914795,86.31445312499999,42.50601119914363,77.4559729005922,86.59301990193248,42.452702702702695,83.5440222495849,49.2698224852071,18.91428571428571,69.9,73.3,7.304370346390419,67.825,70.32758914860946,68.30306021717671,46.69230769230764,6.0,86.59301990193248,75.39998374397985,49.09627007317536,635.6537863380787,42.452702702702695,36.11267605633803,70.1913064035599,77.4559729005922,67.94827368951613,61.53176843576378,204.34820120724487,66.93726254109787,14.7,9.0,187.93602793031437,7.0,8.514119047166268,1.4079991643815766,80.0,36.08771929824561,19.0,2180.196645997145,11.0,407.0,246.20000000000002,8.0,445.79292639113817,9,397.1234677670041,16,39.0,18.0,29.0,66.0,48.0,14.0,116.0,13.4,0.8665384615384616,59,3.72,0.84,-1.25,22,0.464,18
7,NC State,ACC,63.46905132192846,2021,70.3480738102946,256.0,5.0,12.0,5.0,2.0,12.0,1.0,73.0,6.0,67.0,644.0,21.0,3461.0,443.0,288.0,15.0,35.0,89.0,774.0,22511.0,34.0,188.0,21.0,372.0,11.0,1514.0,34.0,79.0,68.0,170.0,4975.0,11.0,45.550000000000004,54.881539980256676,29.033463563784608,375.18,#cc0000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png']",0.19399999999999998,79.214,12.075,16.0,23.0,63.0,72.922,59.642,66.699,12,9,3,8,6,2,48.271438920957195,91.16393512228262,69.59748516188708,32.0084387490416,58.824454082580964,78.43016759776538,8.127334593572783,97.89453125,27.33759836947293,74.65581634349638,72.3757033113013,46.24324324324324,76.67165342595591,52.31597633136096,6.06785714285715,69.8,75.3,7.304370346390419,55.45,37.77239378945572,54.881539980256676,47.538461538461554,9.333333333333329,72.3757033113013,48.271438920957195,69.59748516188708,667.9004665629859,46.24324324324324,51.45070422535211,58.824454082580964,74.65581634349638,91.16393512228261,32.0084387490416,194.85193881591607,62.42026139670764,10.8,14.0,183.31132920016447,8.0,13.065844359665999,1.1588553066641831,59.0,45.11904761904762,2.0,1160.7496710782589,102.0,344.82,137.8,115.0,387.9425599994256,45,375.3714202203939,34,33.0,81.0,3.0,19.0,111.0,39.0,99.0,12.4,0.9478181818181818,105,2.97,0.4,-1.45,26,-0.145,27
8,Wisconsin,Big Ten,65.58706783108029,2021,88.65458077047589,261.0,11.0,20.0,10.0,11.0,13.0,2.0,235.0,13.0,34.0,377.0,23.0,2082.0,300.0,177.0,16.0,11.0,70.0,567.0,26357.0,1.0,92.0,19.0,567.0,26.0,2742.0,39.0,91.0,57.0,169.0,4824.0,23.0,50.50000000000001,34.45607107601185,51.45014438593512,439.28,#c4012f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/275.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png']",0.323,41.937000000000005,13.327,13.0,22.0,35.0,89.273,51.648,39.903,13,9,4,9,6,3,65.21528503716709,100.0,1.0,55.07646739644065,41.19881099702489,52.1098363926576,20.882138013562027,46.72674418604652,35.19445524274735,92.67530056039331,31.196856071531585,68.87162162162163,95.24200874568011,44.93491124260353,29.5214285714286,70.4,72.3,8.968598251861446,50.5,73.86350452141272,34.45607107601185,42.46153846153841,4.333333333333329,31.196856071531585,65.21528503716709,1.0,687.1551621007297,68.87162162162163,77.69014084507043,41.19881099702489,92.67530056039331,100.0,55.07646739644066,193.57435323187747,59.194310665170995,10.3,7.0,182.29053498585117,9.0,6.867311226360868,0.8251411490042532,20.0,23.133409610983975,90.0,1407.3543677095902,79.0,340.72,235.0,15.0,256.53783775454673,118,428.06601757867804,6,29.0,42.0,1.0,130.0,67.0,47.0,31.0,12.1,0.8218461538461538,29,3.77,0.82,-1.61,23,0.365,21
9,Oklahoma,SEC,86.43561430793159,2021,100.0,289.0,11.0,16.0,4.0,14.0,13.0,0.0,104.0,9.0,1.0,244.0,13.0,3425.0,403.0,279.0,11.0,32.0,87.0,733.0,22892.0,1.0,69.0,12.0,448.0,29.0,2438.0,33.0,97.0,63.0,148.0,5863.0,13.0,30.700000000000003,63.25370187561701,74.5731272294887,381.53,#a32036,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",0.46799999999999997,87.0865,17.593,5.0,9.0,40.0,60.927,80.118,57.096,13,11,2,9,7,2,77.35677391857061,56.19497183866278,66.40559093622065,44.11472480196625,78.42063612478792,54.666792917337375,67.78323881537492,46.63844774590163,31.396235895214275,51.345136262166356,96.51629650995093,39.15444015444015,67.56151528332269,48.56686390532545,24.453571428571422,69.5,72.5,10.000000000000002,70.30000000000001,41.347722231701056,63.25370187561701,50.076923076923066,4.666666666666671,96.51629650995093,77.35677391857061,66.40559093622065,876.6874027993779,39.15444015444014,56.647887323943664,78.42063612478792,51.34513626216636,56.19497183866279,44.114724801966275,210.66008838117637,62.30630564706243,17.3,13.0,181.6791366801257,10.0,11.473345642249202,0.8361018963651523,22.0,27.519230769230774,64.0,2153.3480248844057,13.0,398.47,231.0,21.0,489.71619312756786,3,293.2975281269228,113,8.0,16.0,65.0,28.0,94.0,10.0,81.0,12.0,0.8434166666666667,44,4.85,2.11,-0.05,10,1.511,10
10,Notre Dame,FBS Independents,83.72463213303027,2021,6.852185173195206,289.0,9.0,17.0,6.0,12.0,13.0,3.0,300.0,10.0,34.0,423.0,18.0,3672.0,450.0,289.0,15.0,30.0,73.0,642.0,23316.0,1.0,164.0,19.0,451.0,23.0,1868.0,41.0,84.0,77.0,182.0,5540.0,16.0,33.175000000000004,62.40671273445214,47.9859011381009,388.6,#0c2340,#c99700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",0.29600000000000004,84.967,16.663,6.0,10.0,43.0,76.81,65.49,49.223,13,11,2,5,5,0,56.430516606383236,67.67238810911016,67.96252317828666,67.06487026988799,60.97205450302086,40.682960893854755,73.9330622458555,41.12944240196077,41.31774537127845,74.41406853819956,77.05110325930198,67.99764982373678,63.1372103942269,32.75029585798819,34.47142857142856,71.5,71.6,1.5320168339268374,67.825,45.32844224535063,62.40671273445214,33.15384615384613,3.166666666666657,77.05110325930198,56.430516606383236,67.96252317828666,852.042110300275,67.99764982373678,68.1830985915493,60.97205450302086,74.41406853819956,67.67238810911016,67.06487026988802,205.9144497370291,65.75273686748142,15.3,11.0,179.7247851795858,11.0,9.8265378214438,0.7534838856423981,11.0,32.23157894736842,42.0,1613.6774577988472,65.0,391.4,228.0,23.0,409.78251654469113,31,394.0675930856022,19,10.0,66.0,30.0,23.0,35.0,14.0,58.0,11.5,0.8288461538461539,36,5.31,2.4,0.16,9,1.928,8
11,Arizona State,Big 12,67.99367149180524,2021,79.33210747814827,260.0,9.0,14.0,12.0,5.0,13.0,2.0,229.0,10.0,1.0,681.0,37.0,2530.0,313.0,206.0,16.0,12.0,113.0,1015.0,22955.0,1.0,255.0,21.0,495.0,34.0,2514.0,27.0,75.0,67.0,150.0,5044.0,22.0,62.87500000000001,70.09476801579468,67.07287243077968,382.58,#8e0c3a,#ffc72c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",0.4995,42.922999999999995,6.448,39.0,49.0,61.0,61.229,63.091,32.675,13,8,5,9,6,3,83.17846654280692,64.68184239411158,35.00460095868891,71.59195153795781,70.08212444045124,95.02234636871509,20.44038066803509,33.560763888888886,59.38365258341537,66.88069573113394,74.04640899913468,51.681229174379865,63.686742927992455,36.49940828402367,31.053571428571445,71.2,72.4,8.121100679831663,38.125,41.93891827333218,70.09476801579468,35.692307692307665,4.500000000000014,74.04640899913468,83.17846654280692,35.00460095868891,709.0333771982295,51.68122917437986,20.901408450704224,70.08212444045124,66.88069573113395,64.68184239411157,71.59195153795783,183.52296908467315,65.2366136008584,6.1,26.0,178.29045089789722,12.0,24.88614775436004,1.4315264029047667,81.0,31.748262548262552,45.0,2071.8343595427714,20.0,397.42,158.2,91.0,414.2737362618557,27,378.8337067384589,29,25.0,11.0,38.0,98.0,27.0,78.0,128.0,11.2,0.8598333333333333,53,1.13,-1.45,-3.34,43,-1.996,44
12,Oklahoma State,Big 12,57.46122741954781,2021,79.33210747814827,331.0,7.0,13.0,7.0,12.0,14.0,1.0,159.0,13.0,67.0,608.0,22.0,3246.0,447.0,274.0,9.0,23.0,84.0,781.0,25941.0,34.0,68.0,18.0,620.0,27.0,2597.0,57.0,118.0,94.0,220.0,5843.0,20.0,57.925000000000004,63.77492596248767,49.51622218447426,432.35,#FF7300,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png']",0.357,80.47749999999999,16.161,7.0,4.0,18.0,88.077,57.594,54.941,14,12,2,10,8,2,57.13788554537243,82.40123769854972,35.33256407847114,59.26603115279471,47.503572699974015,48.90003990422983,59.35072463768117,100.0,18.936008180943233,83.86100109329614,65.16296509950965,73.58755234107348,96.13901731840421,50.207100591716,14.31785714285715,69.3,73.8,8.121100679831663,43.075,69.96161064664733,63.77492596248767,51.76923076923079,6.833333333333329,65.16296509950965,57.13788554537243,35.33256407847114,613.2838856322527,73.58755234107346,50.563380281690144,47.503572699974015,83.86100109329615,82.40123769854972,59.266031152794724,184.99006095577485,60.9170487114097,6.7,12.0,178.0816762497546,13.0,10.750258445804862,1.273472234142992,71.0,35.91414141414141,22.0,1658.9558461715046,57.0,407.65,286.0,1.0,363.59485255695427,61,432.3696876095144,4,43.0,61.0,7.0,97.0,55.0,65.0,102.0,11.1,0.8124615384615385,23,5.86,2.86,0.37,5,2.287,5
13,Clemson,ACC,89.6890297882522,2021,70.3480738102946,258.0,9.0,16.0,8.0,9.0,13.0,1.0,69.0,11.0,1.0,522.0,21.0,2485.0,414.0,228.0,12.0,12.0,79.0,657.0,22933.0,1.0,92.0,20.0,488.0,26.0,2184.0,41.0,90.0,69.0,186.0,4669.0,19.0,55.45,45.434353405725574,53.55223373534906,382.22,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",0.08333333333333333,14.774666666666668,15.785,8.0,13.0,16.0,82.582,45.036,61.682,13,10,3,8,6,2,40.30702978804399,86.2862117266414,37.311149054292514,67.01304374320296,32.79136442884281,67.123400612723,15.178595317725737,45.2578125,37.85596476856685,83.20962879075181,57.087107008941416,86.27886977886979,81.44902521151072,55.01065088757397,16.203571428571422,69.2,73.9,7.304370346390419,45.550000000000004,41.7362224876301,45.434353405725574,52.61538461538459,7.000000000000014,57.087107008941416,40.30702978804399,37.311149054292514,906.2639071659289,86.27886977886978,66.28169014084507,32.79136442884281,83.20962879075182,86.2862117266414,67.01304374320299,182.39896911282295,57.81973792196258,5.7,8.0,176.3672243730102,14.0,7.389764994888487,0.724954392208526,9.0,34.15714285714286,32.0,1554.7897472257755,68.0,397.78,217.60000000000002,31.0,304.8092970981434,99,422.1051027366043,8,4.0,101.0,5.0,91.0,36.0,61.0,62.0,10.7,0.7933333333333333,16,3.96,1.44,-0.6,13,0.951,13
14,Baylor,Big 12,60.396052159349196,2021,79.33210747814827,290.0,22.0,35.0,8.0,6.0,14.0,2.0,254.0,7.0,34.0,650.0,30.0,2843.0,365.0,237.0,19.0,24.0,75.0,677.0,26367.0,1.0,154.0,19.0,572.0,29.0,3070.0,44.0,103.0,77.0,183.0,5913.0,15.0,35.650000000000006,61.65745310957554,64.66808221505012,439.45,#154734,#ffb81c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']",0.309,56.495,12.371,15.0,7.0,25.0,75.744,63.404,60.75,14,12,2,10,8,2,65.88349129955503,75.88572983897524,61.76054653976385,31.287784430294096,65.17017348518401,63.02314445331206,40.133950046253474,37.0500529661017,57.33895714204836,61.113746988421354,65.16296509950965,63.57682339874121,84.61269860655223,56.5337278106509,10.19285714285715,68.7,74.0,8.121100679831663,65.35,73.95922197577204,61.65745310957554,56.84615384615382,7.166666666666671,65.16296509950965,65.88349129955503,61.76054653976385,639.9641105395381,63.5768233987412,63.74647887323944,65.17017348518401,61.11374698842137,75.88572983897524,31.287784430294096,200.34680285331828,60.18357876369893,13.0,15.0,175.88841238464468,15.0,13.855809365415913,1.0578718225764847,44.0,35.0719298245614,27.0,1941.3254611110435,25.0,400.55,196.2,48.0,417.667998734229,24,336.44595190743905,72,38.0,39.0,13.0,33.0,114.0,19.0,64.0,10.6,0.8266923076923077,33,5.6,2.69,0.28,7,2.151,7
15,Coastal Carolina,Sun Belt,19.470762052877138,2021,10.898077047588213,309.0,10.0,13.0,6.0,8.0,13.0,0.0,27.0,4.0,1.0,542.0,28.0,3457.0,322.0,227.0,6.0,33.0,70.0,666.0,24394.0,100.0,241.0,25.0,509.0,36.0,2974.0,32.0,82.0,77.0,143.0,6431.0,10.0,50.50000000000001,100.00000000000001,88.31238321725837,406.57,#007073,#876447,"['http://a.espncdn.com/i/teamlogos/ncaa/500/324.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/324.png']",0.5446666666666666,67.782,5.099,45.0,34.0,130.0,38.947,79.427,59.32,13,11,2,8,6,2,100.0,57.29330919217429,69.66627942371721,57.54045009468717,100.0,63.94296673059284,9.250297672740388,37.0500529661017,64.34078973716339,59.98783203416477,100.0,41.591216216216225,64.79486743817917,38.0224852071006,17.853571428571428,70.9,73.4,1.8998251861443838,50.5,55.44634021498038,100.00000000000001,38.23076923076918,6.166666666666671,100.0,100.0,69.66627942371721,267.91601866251943,41.59121621621622,65.14084507042253,100.0,59.98783203416478,57.2933091921743,57.540450094687166,228.2322539153971,74.0813117907906,24.5,25.0,175.2058061060732,16.0,24.430571795137997,2.485853601903988,119.0,31.49714285714286,48.0,2797.522279729783,1.0,373.43,164.39999999999998,84.0,480.88202903415106,5,335.657221669079,74,122.0,1.0,60.0,18.0,62.0,47.0,63.0,10.5,0.9408333333333333,101,1.41,-0.38,-1.34,31,-0.689,30
16,Utah,Big 12,60.64279220002395,2021,79.33210747814827,339.0,11.0,24.0,7.0,8.0,14.0,3.0,149.0,8.0,34.0,413.0,16.0,3000.0,401.0,254.0,10.0,24.0,67.0,623.0,25898.0,67.0,454.0,30.0,545.0,37.0,3035.0,42.0,98.0,82.0,170.0,6035.0,15.0,52.97500000000001,81.72458045409677,36.029216918634276,431.63,#ea002a,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png']",0.22199999999999998,60.1465,14.481,11.0,27.0,47.0,68.97,76.904,42.847,14,10,4,10,9,1,77.24027424066063,61.64585107584816,49.58372974496629,49.50112256053205,68.66546833683209,61.63398662881215,40.94648174934059,56.67730402542372,39.883492690192014,59.642377564706045,79.11573629419058,55.340540540540545,87.30179309111018,58.64260355029586,12.432142857142878,68.0,74.1,8.121100679831663,48.025000000000006,69.55621907524312,81.72458045409677,62.76923076923077,7.333333333333329,79.11573629419058,77.24027424066063,49.58372974496629,642.2072018183993,55.34054054054054,70.59154929577466,68.66546833683209,59.64237756470605,61.645851075848164,49.50112256053205,201.22690275864983,61.046470587257545,13.4,16.0,174.51288771554906,17.0,14.445140943249104,0.9700918928283357,36.0,47.04583333333333,1.0,1568.6608571993675,67.0,408.37,206.0,37.0,435.8282805450982,14,335.1228313143854,75,37.0,17.0,47.0,64.0,79.0,55.0,50.0,10.3,0.8177692307692308,26,3.54,0.62,-1.68,25,-0.02,25
